"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12","30,335,920","14,861,245","15,474,670"
"Occupation - not applicable 13","9,705,395","4,171,210","5,534,190"
"All occupations 14","20,630,520","10,690,035","9,940,485"
"0 Legislative and senior management occupations","267,690","186,230","81,460"
"00 Legislative and senior managers","267,690","186,230","81,460"
"000 Legislative and senior managers","267,690","186,230","81,460"
"0001 Legislative and senior managers","267,690","186,230","81,460"
"00010 Legislators","9,385","5,370","4,020"
"00018 Seniors managers - public and private sector 15","258,305","180,865","77,440"
"1 Business, finance and administration occupations","3,557,055","1,135,350","2,421,705"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","206,590","247,050"
"1001 Administrative services managers","207,885","89,775","118,115"
"10010 Financial managers","78,200","32,520","45,680"
"10011 Human resources managers","52,360","16,710","35,655"
"10012 Purchasing managers","27,900","17,225","10,675"
"10019 Other administrative services managers","49,425","23,320","26,105"
"1002 Managers in financial and business services","234,915","109,235","125,675"
"10020 Insurance, real estate and financial brokerage managers","37,760","20,565","17,195"
"10021 Banking, credit and other investment managers","77,720","37,100","40,615"
"10022 Advertising, marketing and public relations managers","95,605","38,795","56,810"
"10029 Other business services managers","23,835","12,775","11,060"
"1003 Managers in communication (except broadcasting)","10,840","7,580","3,260"
"10030 Telecommunication carriers managers","10,840","7,580","3,260"
"11 Professional occupations in finance and business","794,045","351,440","442,605"
"111 Professional occupations in finance","422,595","211,050","211,545"
"1110 Auditors, accountants and investment professionals","422,595","211,050","211,545"
"11100 Financial auditors and accountants","211,865","95,450","116,415"
"11101 Financial and investment analysts","61,240","34,150","27,085"
"11102 Financial advisors","101,930","56,355","45,570"
"11103 Securities agents, investment dealers and brokers","15,880","11,115","4,765"
"11109 Other financial officers","31,675","13,975","17,705"
"112 Professional occupations in business","371,455","140,395","231,060"
"1120 Human resources and business service professionals","371,455","140,395","231,060"
"11200 Human resources professionals","99,785","25,680","74,105"
"11201 Professional occupations in business management consulting","113,075","62,030","51,040"
"11202 Professional occupations in advertising, marketing and public relations","158,600","52,680","105,920"
"12 Administrative and financial supervisors and specialized administrative occupations","523,055","152,815","370,240"
"120 Administrative and financial supervisors","70,690","35,030","35,660"
"1201 Administrative and financial supervisors","70,690","35,030","35,660"
"12010 Supervisors, general office and administrative support workers","19,380","8,130","11,245"
"12011 Supervisors, finance and insurance office workers","18,350","4,180","14,175"
"12012 Supervisors, library, correspondence and related information workers","3,420","1,190","2,230"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","29,540","21,530","8,005"
"121 Specialized administrative occupations","229,445","64,730","164,715"
"1210 Administrative and regulatory occupations","203,740","59,625","144,110"
"12100 Executive assistants","50,205","4,695","45,505"
"12101 Human resources and recruitment officers","43,415","12,340","31,075"
"12102 Procurement and purchasing agents and officers","52,200","24,405","27,795"
"12103 Conference and event planners","24,200","6,485","17,715"
"12104 Employment insurance and revenue officers","33,725","11,705","22,020"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","25,705","5,105","20,605"
"12110 Court reporters, medical transcriptionists and related occupations","10,390","970","9,420"
"12111 Health information management occupations","6,495","805","5,685"
"12112 Records management technicians","3,010","875","2,135"
"12113 Statistical officers and related research support occupations","5,810","2,450","3,365"
"122 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870"
"1220 Accounting, insurance and related business administrative occupations","222,925","53,055","169,870"
"12200 Accounting technicians and bookkeepers","156,740","23,040","133,705"
"12201 Insurance adjusters and claims examiners","31,885","12,730","19,155"
"12202 Insurance underwriters","17,400","5,615","11,785"
"12203 Assessors, business valuators and appraisers","16,900","11,675","5,225"
"13 Administrative occupations and transportation logistics occupations","817,585","125,115","692,465"
"131 Administrative occupations","760,410","95,290","665,120"
"1310 Administrative, property and payroll officers","387,560","73,345","314,210"
"13100 Administrative officers","294,790","45,250","249,540"
"13101 Property administrators","50,705","22,960","27,745"
"13102 Payroll administrators","42,065","5,135","36,925"
"1311 Office administrative assistants - general, legal and medical","372,855","21,945","350,910"
"13110 Administrative assistants","289,640","16,915","272,725"
"13111 Legal administrative assistants","46,845","3,555","43,290"
"13112 Medical administrative assistants","36,365","1,470","34,895"
"132 Transportation and production logistics coordinators and customs brokers and related broker occupations","57,170","29,830","27,340"
"1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","57,170","29,830","27,340"
"13200 Customs, ship and other brokers","5,130","2,060","3,070"
"13201 Production and transportation logistics coordinators","52,040","27,765","24,275"
"14 Administrative and financial support and supply chain logistics occupations","968,725","299,385","669,340"
"141 Office, court, and data support occupations","453,855","71,980","381,875"
"1410 Office support and court services occupations","388,045","53,290","334,755"
"14100 General office support workers","203,185","35,550","167,630"
"14101 Receptionists","167,150","14,060","153,100"
"14102 Personnel clerks","12,400","2,535","9,870"
"14103 Court clerks and related court services occupations","5,305","1,150","4,155"
"1411 Survey, statistical and data entry occupations","65,810","18,690","47,120"
"14110 Survey interviewers and statistical clerks","18,095","6,910","11,185"
"14111 Data entry clerks","46,895","11,355","35,545"
"14112 Desktop publishing operators and related occupations","815","425","395"
"142 Financial, insurance and related administrative support workers","216,485","42,585","173,900"
"1420 Financial, insurance and related administrative support workers","216,485","42,585","173,900"
